unmatched_address,matched_address,matched_id,score
2024 Hanover Ave.,2024 hanover ave,46603,100.0
2116 Hanover Ave.,2116 hanover ave,46624,100.0
510 N. Meadow St.,510 n meadow st,69156,100.0
2001 Monument Ave.,2001 monument ave,71857,100.0
2235 Monument Ave.,2235 monument ave,71955,100.0
2702 Monument Ave.,2702 monument ave,72042,100.0
2714 Monument Ave.,2714 monument ave,72048,100.0
2228 Park Ave.,2228 park ave,79149,100.0
2624 Park Ave.,2624 park ave,79337,100.0
2701 Park Ave.,2701 park ave,79338,100.0
1508 Grove Ave.,1508 grove ave,44100,100.0
312 N. Harrison St.,312 n harrison st,47608,100.0
1530 Park Ave.,1530 park ave,78899,100.0
1104 West Ave.,1104 west ave,102452,100.0
1107 West Ave.,1107 west ave,102454,100.0
1127 West Ave.,1127 west ave,102475,100.0
1130 West Ave.,1130 west ave,102478,100.0
1138 West Ave.,1138 west ave,102487,100.0
1500 West Ave.,1500 west ave,102501,100.0
1506 West Ave.,1506 west ave,102507,100.0
1515 West Ave.,1515 west ave,102521,100.0
1813 Floyd Ave.,1813 floyd ave,34687,100.0
1907 Grove Ave.,1907 grove ave,44303,100.0
2115 Grove Ave.,2115 grove ave,44396,100.0
2412 Grove Ave.,2412 grove ave,44510,100.0
2503 Grove Ave.,2503 grove ave,44532,100.0
2509 Grove Ave.,2509 grove ave,44541,100.0
2407 Kensington Ave.,2407 kensington ave,54555,100.0
408 N. Meadow St.,408 n meadow st,69137,100.0
2324 Monument Ave.,2324 monument ave,71983,100.0
2712 Monument Ave.,2712 monument ave,72047,100.0
2718 Monument Ave.,2718 monument ave,2033158,100.0
2013 Stuart Ave.,2013 stuart ave,95595,100.0
405 N. Allen Ave.,405 n allen ave,1139,100.0
406 N. Allen Ave.,406 n allen ave,1140,100.0
407 N. Allen Ave.,407 n allen ave,1141,100.0
2204 Floyd Ave.,2204 floyd ave,34864,100.0
2206 Floyd Ave.,2206 floyd ave,34867,100.0
1918 Hanover Ave.,1918 hanover ave,1046558,100.0
206 N. Harrison St.,206 n harrison st,47601,100.0
1835 Monument Ave.,1835 monument ave,71846,100.0
2226 Monument Ave.,2226 monument ave,71948,100.0
1721 Park Ave.,1721 park ave,78957,100.0
1506 Park Ave.,1506 park ave,78889,100.0
1504 Park Ave.,1504 park ave,78888,100.0
1652 W. Grace St.,1652 w grace st,40813,100.0
310 N. Granby St.,310 n granby st,42162,100.0
1525 Grove Ave.,1525 grove ave,1044124,100.0
2222 Grove Ave.,2222 grove ave,44435,100.0
2425 Grove Ave.,2425 grove ave,1044526,100.0
1704 Hanover Ave.,1704 hanover ave,46439,100.0
