AddressId,AddressLabel,BuildingNumber,StreetDirection,StreetName,StreetType,ExtensionWithUnit,UnitType,UnitValue,ZipCode,Mailable,StatePlaneX,StatePlaneY,Latitude,Longitude,ID,Name,AddressBase,AddressExtension
3156968,713 W Broad St Apt 103,713,W,Broad,St,,Apt,103,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 103
3156969,713 W Broad St Apt 105,713,W,Broad,St,,Apt,105,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 105
3156970,713 W Broad St Apt 201,713,W,Broad,St,,Apt,201,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 201
3156972,713 W Broad St Apt 203,713,W,Broad,St,,Apt,203,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 203
3156979,713 W Broad St Apt 304,713,W,Broad,St,,Apt,304,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 304
3156977,713 W Broad St Apt 302,713,W,Broad,St,,Apt,302,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 302
3156978,713 W Broad St Apt 303,713,W,Broad,St,,Apt,303,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 303
3156980,713 W Broad St Apt 305,713,W,Broad,St,,Apt,305,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 305
3156981,713 W Broad St Apt 306,713,W,Broad,St,,Apt,306,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 306
3156973,713 W Broad St Apt 204,713,W,Broad,St,,Apt,204,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 204
3156974,713 W Broad St Apt 205,713,W,Broad,St,,Apt,205,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 205
3156975,713 W Broad St Apt 206,713,W,Broad,St,,Apt,206,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 206
3156976,713 W Broad St Apt 301,713,W,Broad,St,,Apt,301,23220,Yes,11787666.6961245,3725318.65013602,37.54947633,-77.44876539,0350,Fan District Association,713 W Broad St,Apt 301
3174446,711 W Broad St Apt 202,711,W,Broad,St,,Apt,202,23220,Yes,11787688.0071055,3725302.41296376,37.54943109,-77.4486925,0350,Fan District Association,711 W Broad St,Apt 202
1066168,1812 Monument Ave Apt 4,1812,,Monument,Ave,,Apt,4,23220,Yes,11784182.3592612,3727128.8594421,37.55455351,-77.46071488,0350,Fan District Association,1812 Monument Ave,Apt 4
1066169,1812 Monument Ave Apt 5,1812,,Monument,Ave,,Apt,5,23220,Yes,11784182.3592612,3727128.8594421,37.55455351,-77.46071488,0350,Fan District Association,1812 Monument Ave,Apt 5
