OBJECTID,ID,Name,District,Class,CreatedBy,CreatedDate,EditBy,EditDate,GlobalID,Shape__Area,Shape__Length
102,PRPK,Providence Park,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,dfffb41c-cd3e-4bf1-9a8e-6c0240613f49,5646448.21875,10141.0109886082
103,RDPH,Randolph,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,871adb30-1de6-4aa0-a590-b3598aade6e0,9686383.1875,12766.2280471449
104,RDCR,Reedy Creek,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,df6089c7-eb3e-46e0-83af-8e6403da5756,4954448.59765625,9575.73628784704
105,RSDL,Rosedale,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,218f148f-2a8d-4845-a258-2d135369b7b1,8455310.5,13024.9047488152
106,SRGD,Sauer's Gardens,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,af3d35d2-fcdd-4d23-9596-9a7314395ab3,9774805.6015625,14758.0992759259
107,SCOT,Scott's Addition,Near West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,e3b840f8-20bc-4f3d-8b8d-3cf8919f0559,11059594.9140625,14100.6078126424
108,SHWP,Sherwood Park,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,45b006b4-b2da-4602-82e3-9c406ece035e,7406694.390625,11252.0245563413
109,SHKB,Shockoe Bottom,East,2,richmondvagis,1572900161564,richmondvagis,1572900161564,b5e94136-d6e2-47d2-9217-92adacf94dc4,14761578.6523438,21800.0755168857
110,SHKS,Shockoe Slip,Downtown,2,richmondvagis,1572900161564,richmondvagis,1572900161564,be027f08-01a6-4a8d-afcd-ad0b285b6ee5,2121632.17578125,5956.22716825479
111,SGD,South Garden,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,f0fc9d1e-4074-414f-81fc-0cc1f88e8fd1,15669948.7695313,23597.6256580016
112,SHPN,Southampton,Huguenot,1,richmondvagis,1572900161564,richmondvagis,1572900161564,41642037-46d1-43ea-ba43-dcb9c235134b,16225521.6914063,17362.1588500192
113,SBHG,Southern Barton Heights,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,fadd4a1f-1779-45be-bce2-54c1d2171326,6414159.32421875,12507.0103142812
114,SWD,Southwood,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,31660e42-6271-4071-8463-1a9252234b38,5527929.00390625,10968.1279303709
115,STAD,Stadium,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,6499b62d-ac12-4c4d-a7c6-34041b52c302,5018313.546875,11638.1018211
116,STCT,Stonewall Court,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,dea5c1e5-2d1a-405d-8966-a58ea03362f7,6527842.90234375,10547.5603290176
117,STYP,Stony Point,Huguenot,2,richmondvagis,1572900161564,richmondvagis,1572900161564,3e6fff41-c84a-49b4-a5ce-8cf9b87e7b31,25185513.859375,28455.706323077
118,STFH,Stratford Hills,Huguenot,1,richmondvagis,1572900161564,richmondvagis,1572900161564,ced09384-1284-4564-8c5d-f6c4b27c0775,59834624.0546875,34339.7907601538
119,SWNO,Swansboro,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,024ca724-125e-4b79-abc5-a28c333787d2,16167769.171875,18199.056052104
120,SWNW,Swansboro West,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,d1e6c48f-4e63-4dde-b2a9-07f766412c6d,8683267.97265625,14373.7940389713
121,SWNS,Swanson,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,562b2942-5c01-4574-94d0-6929b25fa9a8,10448024.7539063,15745.3352146686
122,DIAM,The Diamond,Near West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,e62979d7-184d-41f0-be08-0784f1ea5cb6,20043447.5625,23919.7346904664
123,FAN,The Fan,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,547ae7a6-c8ea-4557-bb5c-98fb9219fdc2,26611614.2421875,21964.8180211534
124,MUSD,The Museum District,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,5c286b14-a522-4454-b8ab-41730564a876,17665793.96875,17178.727928051
125,TCHP,Three Chopt,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,79e3cc58-794b-43e3-b434-572015e16ccc,27068467.015625,31815.1791946078
126,UNHL,Union Hill,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,1a611677-2a5d-48ef-82c6-41385947eca8,5028819.5703125,9835.33759888126
127,UR,University of Richmond,Far West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,7426d03d-86aa-49ae-aaab-9b929c991076,11181614.5585938,17329.4885014929
128,USHV,Upper Shockoe Valley,East,2,richmondvagis,1572900161564,richmondvagis,1572900161564,2788d205-ce1b-41e2-be83-4330e56bc43a,9332771.91796875,17394.0644528681
129,VCU,VCU,Near West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,ae2e0bb9-e235-4eb4-a4df-65a290385eab,5640347.859375,10023.2192258075
130,VUU,Virginia Union,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,422964c7-c850-422a-8edc-29ca00ef99b1,11308752.6484375,15900.2945470294
131,WLMS,Walmsley,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,6319a6ce-4642-4034-87a4-62e66e6afa9d,13673218.125,18956.6941687378
132,WARW,Warwick,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,080dce34-6149-47e4-86b7-b7bc64fdb4a7,6000428.9765625,11337.0614832556
133,WSHP,Washington Park,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,d18d1a8e-20c9-4702-babc-d72ad6d515b2,4917909.98046875,9503.18223968798
134,WHMP,Westhampton,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,3cdd090e-7b9f-424b-b066-d5792c5c3ffb,10306032.3085938,13738.2454995262
135,WLHL,Westlake Hills,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,9966fa91-d73b-4d77-8360-629601120321,11935728.5390625,16577.0776605276
136,WOVR,Westover,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,e18e0faa-896e-4f3b-a8f2-0484b4ee6aa1,17260843.9375,18582.7299612825
137,WSTH,Westover Hills,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,49e9de55-125f-4bc9-a6aa-c3af99b1c3be,11026442.2773438,15647.1949277305
138,WHW,Westover Hills West,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a682b4c0-6452-4a67-b267-37cf169e4a69,9302491.96875,14909.0525805726
139,WHCB,Whitcomb,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,57737361-2795-4eea-b9dd-455441b971f5,12569154.3867188,14046.4136361027
140,WLLN,Willow lawn,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,d0116e1c-d9c1-44d5-9be1-f8d7d078d59f,6291978.72265625,12029.6519016177
141,WLOK,Willow Oaks,Huguenot,1,richmondvagis,1572900161564,richmondvagis,1572900161564,59a3d474-d8a4-4892-bf3b-d6477057e11e,19591745.3476563,18793.7104222017
142,WLTN,Wilton,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,144ea104-0dc7-4c4c-ad18-683d2da72bf4,32081472.9726563,22346.7686704076
143,WDR,Windsor,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,9dc55b07-d645-488b-831e-1edd90523a8b,5210480.8359375,12338.6285817064
144,WDRF,Windsor Farms,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,b076842e-4371-454b-b68f-c1d955e885a6,32676804.2695313,22836.0951310114
145,WDHV,Woodhaven,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,55165a72-cb5a-4227-9ec8-d8cb9795b94f,12627324.453125,14871.3336202132
146,WDLH,Woodland Heights,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,c9e61ee5-c0fb-4fe1-825d-6425cf683e0d,15225344.515625,24152.316413448
147,WDVL,Woodville,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,1c80d060-f713-454f-ab63-662a50f1faec,3244923.8359375,10934.8255840455
148,WTHG,Worthington,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,168815f7-f298-46bb-9588-ded182ab612f,10941440.9921875,14684.1568189018
